Year,Month,Tmax,Tmin,PAR_umol/m2/s,SumOfPrecipitations,CO2_Concentration
1950-2010,1,0.7374641793673383,-36.896498232982175,271.6368861211432,73.91294185450819,347.7816247158363
1950-2010,2,3.655668565093517,-35.66417466460679,447.42274151218373,58.29799031429604,348.3700571529201
1950-2010,3,10.778963082735679,-30.476673413886378,666.1684016422298,64.17185355014489,348.6952979916432
1950-2010,4,19.20536118804434,-17.522951319960274,886.9762610626924,58.61400179003106,346.6130095935259
1950-2010,5,27.26239754098363,-5.3322059506275385,1016.6733406374111,70.85110866046342,343.33104468173667
1950-2010,6,29.237466180520006,-0.11226076219900392,1036.693091316243,91.54923320207439,338.3696204013512
1950-2010,7,29.97773207367446,3.8119195656698484,1035.2834194496015,78.20863192198706,335.3840782290599
1950-2010,8,28.259152671939063,2.469023557569183,878.6059104171494,81.3037904833184,337.2106318239306
1950-2010,9,25.26017826267933,-2.4073442302766166,601.0877825786973,98.21638044763785,341.52478177430197
1950-2010,10,20.47072954021519,-7.518170566246135,393.3135477186888,86.38637739713074,345.21290013047513
1950-2010,11,10.695115286404992,-19.211901405209375,237.56986820126983,86.91072241986384,347.3121422939613
1950-2010,12,3.242077336545873,-31.87472644243082,208.66180078001497,73.88452013985055,348.45692468862063
