,Time,ACER.SAH_g/m2,AllSpp_g/m2
0,0,3,3
1,10,14,14
2,20,93,93
3,30,536,536
4,40,2438,2438
5,50,6908,6908
6,60,11475,11475
7,70,14405,14405
8,80,16063,16063
9,90,16845,16845
10,100,17397,17397
11,110,17607,17607
12,120,17735,17735
13,130,17841,17841
14,140,17808,17808
15,150,17776,17776
16,160,17467,17467
17,170,17098,17098
18,180,16793,16793
19,190,16659,16659
20,200,16414,16414
21,210,16314,16314
22,220,15977,15977
23,230,15353,15353
24,240,14719,14719
25,250,14110,14110
26,260,13343,13343
27,270,12383,12383
28,280,11402,11402
29,290,10348,10348
30,300,9291,9291
